Recording filename,DIV group,Genotype
MPT190403_6B_DIV14,14,WT
MPT190403_6B_DIV21,21,WT
MPT190403_6B_DIV28,28,WT
MPT190403_6B_DIV35,35,WT
MPT190403_6C_DIV14,14,WT
MPT190403_6C_DIV21,21,WT
MPT190403_6C_DIV28,28,WT
MPT190403_6C_DIV35,35,WT
MPT190515_2B_DIV14,14,WT
MPT190515_2B_DIV21,21,WT
MPT190515_2B_DIV28,28,WT
MPT190515_2B_DIV35,35,WT
MPT190515_3B_DIV14,14,WT
MPT190515_3B_DIV21,21,WT
MPT190515_3B_DIV28,28,WT
MPT190515_3B_DIV35,35,WT
MPT190515_4B_DIV14,14,HE
MPT190515_4B_DIV21,21,HE
MPT190515_4B_DIV28,28,HE
MPT190515_4B_DIV35,35,HE
MPT190515_4C_DIV14,14,HE
MPT190515_4C_DIV21,21,HE
MPT190515_4C_DIV28,28,HE
MPT190515_4C_DIV35,35,HE
MPT190528_1B_DIV14,14,WT
MPT190528_1B_DIV21,21,WT
MPT190528_1B_DIV28,28,WT
MPT190528_1B_DIV35,35,WT
MPT190528_1C_DIV14,14,WT
MPT190528_1C_DIV21,21,WT
MPT190528_1C_DIV28,28,WT
MPT190528_1C_DIV35,35,WT
MPT190528_4A_DIV14,14,WT
MPT190528_4A_DIV21,21,WT
MPT190528_4A_DIV28,28,WT
MPT190528_4A_DIV35,35,WT
MPT200108_1A_DIV14,14,HE
MPT200108_1A_DIV21,21,HE
MPT200108_1A_DIV28,28,HE
MPT200108_1A_DIV35,35,HE
MPT200108_1C_DIV14,14,HE
MPT200108_1C_DIV21,21,HE
MPT200108_1C_DIV28,28,HE
MPT200108_2B_DIV14,14,HE
MPT200108_2B_DIV21,21,HE
MPT200108_2B_DIV28,28,HE
MPT200108_2B_DIV35,35,HE
MPT200108_4A_DIV14,14,KO
MPT200108_4A_DIV21,21,KO
MPT200108_4A_DIV28,28,KO
MPT200108_4B_DIV14,14,KO
MPT200108_4B_DIV21,21,KO
MPT200108_4B_DIV28,28,KO
MPT200108_4B_DIV35,35,KO
MPT200108_5B_DIV14,14,KO
MPT200108_5B_DIV21,21,KO
MPT200108_5B_DIV28,28,KO
MPT200108_5B_DIV35,35,KO
MPT200115_1A_DIV14,14,HE
MPT200115_1A_DIV21,21,HE
MPT200115_1A_DIV28,28,HE
MPT200115_1A_DIV35,35,HE
MPT200115_1B_DIV14,14,HE
MPT200115_1B_DIV21,21,HE
MPT200115_1B_DIV28,28,HE
MPT200115_1B_DIV35,35,HE
MPT200115_2D_DIV35,35,KO
MPT200115_2B_DIV14,14,KO
MPT200115_2B_DIV21,21,KO
MPT200115_2B_DIV28,28,KO
MPT200115_2B_DIV35,35,KO
MPT200115_2D_DIV14,14,KO
MPT200115_2D_DIV21,21,KO
MPT200115_2D_DIV28,28,KO
MPT200205_2A_DIV14,14,HE
MPT200205_2A_DIV21,21,HE
MPT200205_2A_DIV28,28,HE
MPT200205_2A_DIV35,35,HE
MPT200205_2C_DIV14,14,HE
MPT200205_2C_DIV21,21,HE
MPT200205_2C_DIV28,28,HE
MPT200205_2C_DIV35,35,HE
MPT200205_4A_DIV14,14,WT
MPT200205_4A_DIV21,21,WT
MPT200205_4A_DIV28,28,WT
MPT200205_4A_DIV35,35,WT
MPT200205_4B_DIV14,14,WT
MPT200205_4B_DIV21,21,WT
MPT200205_4B_DIV28,28,WT
MPT200205_4B_DIV35,35,WT
MPT200205_4C_DIV14,14,WT
MPT200205_4C_DIV21,21,WT
MPT200205_4C_DIV28,28,WT
MPT200205_4C_DIV35,35,WT
MPT200205_6A_DIV14,14,KO
MPT200205_6A_DIV21,21,KO
MPT200205_6A_DIV28,28,KO
MPT200205_6A_DIV35,35,KO
MPT200205_6B_DIV14,14,KO
MPT200205_6B_DIV28,28,KO
MPT200205_6B_DIV35,35,KO
MPT200205_6C_DIV14,14,KO
MPT200205_6C_DIV28,28,KO
MPT200205_6C_DIV35,35,KO
MPT200209_1C_DIV14,14,HE
MPT200209_1C_DIV21,21,HE
MPT200209_1C_DIV28,28,HE
MPT200209_1C_DIV35,35,HE
MPT200209_2A_DIV14,14,WT
MPT200209_2A_DIV21,21,WT
MPT200209_2A_DIV28,28,WT
MPT200209_2A_DIV35,35,WT
MPT200209_2B_DIV14,14,WT
MPT200209_2C_DIV14,14,WT
MPT200209_3B_DIV14,14,KO
MPT200209_3B_DIV21,21,KO
MPT200209_3B_DIV28,28,KO
MPT200209_3B_DIV35,35,KO
MPT200209_4A_DIV14,14,KO
MPT200209_4A_DIV21,21,KO
MPT200209_4A_DIV28,28,KO
MPT200209_4A_DIV35,35,KO
MPT200209_7A_DIV14,14,KO
MPT200209_7A_DIV21,21,KO
MPT200209_7A_DIV28,28,KO
MPT200209_7A_DIV35,35,KO
MPT200209_7B_DIV14,14,KO
MPT200209_7B_DIV21,21,KO
MPT200209_7B_DIV28,28,KO
MPT200209_7B_DIV35,35,KO
MPT200209_8B_DIV14,14,WT
MPT200209_8B_DIV21,21,WT
MPT200209_8B_DIV28,28,WT
MPT200209_8B_DIV35,35,WT
